ds,y
2019-11-04 15:10:00,0.625463603
2019-11-04 16:10:00,0.714593014
2019-11-04 17:10:00,0.811497329
2019-11-04 18:10:00,0.863512424
2019-11-04 19:10:00,0.948361992
2019-11-04 20:10:00,1.054109675
2019-11-04 21:10:00,0.939343183
2019-11-04 22:10:00,0.891940589
2019-11-04 23:10:00,0.840564466
2019-11-05 00:10:00,0.774877634
2019-11-05 01:10:00,0.791836548
2019-11-05 02:10:00,0.760947625
2019-11-05 03:10:00,0.76065903
2019-11-05 04:10:00,0.771695057
2019-11-05 05:10:00,0.803497945
2019-11-05 06:10:00,0.917142375
2019-11-05 07:10:00,0.833435765
2019-11-05 08:10:00,0.770317011
2019-11-05 09:10:00,0.758001873
2019-11-05 10:10:00,0.714682047
2019-11-05 11:10:00,0.635817132
2019-11-05 12:10:00,0.846800175
2019-11-05 13:10:00,0.805933601
2019-11-05 14:10:00,0.790356679
2019-11-05 15:10:00,0.79119076
2019-11-05 16:10:00,0.826518908
2019-11-05 17:10:00,0.820834995
2019-11-05 18:10:00,0.937637283
2019-11-05 19:10:00,0.921994019
2019-11-05 20:10:00,0.845947302
2019-11-05 21:10:00,0.73377184
2019-11-05 22:10:00,0.735432126
2019-11-05 23:10:00,0.683370787
2019-11-06 00:10:00,0.734853738
2019-11-06 01:10:00,0.668773694
2019-11-06 02:10:00,0.641309944
2019-11-06 03:10:00,0.695396362
2019-11-06 04:10:00,0.690755902
2019-11-06 05:10:00,0.836095256
2019-11-06 06:10:00,0.850829714
2019-11-06 07:10:00,0.881319299
2019-11-06 08:10:00,0.760724588
2019-11-06 09:10:00,0.725342058
2019-11-06 10:10:00,0.691336286
2019-11-06 11:10:00,0.648701247
2019-11-06 12:10:00,0.810905476
2019-11-06 13:10:00,0.831028313
2019-11-06 14:10:00,0.817085853
2019-11-06 15:10:00,0.794333172
2019-11-06 16:10:00,0.833012859
2019-11-06 17:10:00,0.839940571
2019-11-06 18:10:00,0.930917562
2019-11-06 19:10:00,0.924247954
2019-11-06 20:10:00,0.914574712
2019-11-06 21:10:00,0.853454507
2019-11-06 22:10:00,0.81855152
2019-11-06 23:10:00,0.658274416
